actioinfraestrutura,,,TRUE,FALSE
advogadalucianamara,advogadamilitarlucianamara.com.br,redeweb,TRUE,TRUE
amorperfeito,,,TRUE,FALSE
avanzata,,,TRUE,FALSE
backboneinfo,backboneinfo.net.br,redeweb,TRUE,TRUE
blogdousvies,,,FALSE,FALSE
cartaodevisitavirtual,cartaodevisitavirtual.com.br,,FALSE,FALSE
casadorenault,casadorenault.com.br,redeweb,TRUE,TRUE
cra,,,TRUE,FALSE
criacaodesitesembh,criacaodesitesembh.com,,FALSE,FALSE
decoraco,,,TRUE,FALSE
decorardivisoriaseforros,decorardivisoriaseforros.com.br,redeweb,TRUE,TRUE
dynamo,dynamofotovideo.com.br,,TRUE,TRUE
engeformas,engeformas.eng.br,redeweb,TRUE,TRUE
eficilux,,,TRUE,FALSE
espacopsicomais,espacopsicomais.com.br,,TRUE,TRUE
estanciamacaubas,estanciamacaubas.com.br,,TRUE,TRUE
gpkembreagens,gpkembreagens.com.br,,TRUE,TRUE
institutofariaodontologia,institutofariaodontologia.com.br,,TRUE,TRUE
innovare,innovarecomex.com,gsuite,TRUE,TRUE
institutomineirodetaichi,institutomineirodetaichi.com.br,,TRUE,TRUE
limpromax,,,TRUE,FALSE
logexpress,logexpressbrasil.com,,TRUE,TRUE
lojadabeatriz,,,TRUE,FALSE
manneacessorios,,,TRUE,FALSE
monteirocosta,,,TRUE,FALSE
mrks,mrksuniformes.com.br,redeweb,TRUE,TRUE
parquedamantiqueira,parquedamantiqueira.com.br,,TRUE,TRUE
patrickfeibelmann,,,TRUE,FALSE
pizzariamamacita,,,TRUE,FALSE
printermagazine,printermagazine.com.br,gsuite,TRUE,TRUE
psicologaclaudia,psiclaudiaregina.com.br,,TRUE,TRUE
psicologaalinemonnerat,psialinemonnerat.com.br,redeweb,TRUE,TRUE
quilleconsultoria,quilleconsultoria.com.br,gsuite,TRUE,TRUE
reparloc,reparloc.com.br,locaweb,TRUE,TRUE
santinhosdelutobh,santaclarasantinhos.com.br,,TRUE,TRUE
theanerommanel,,,TRUE,FALSE
tuosa,tuosa.com.br,,TRUE,TRUE
teste,,,FALSE,FALSE
vovosolucoes,vovosolucoes.com.br,gsuite,TRUE,TRUE
